h24-71-249-14.ca.shawcable.net,07/Mar/2004:22:29:41,POST,/mailman/options/cnc_notice HTTP/1.1,200
h24-71-249-14.ca.shawcable.net,07/Mar/2004:22:30:08,POST,/mailman/options/cnc_notice HTTP/1.1,200
h24-71-236-129.ca.shawcable.net,09/Mar/2004:15:51:24,POST,/mailman/admin/ppwc HTTP/1.1,200
h24-71-236-129.ca.shawcable.net,09/Mar/2004:15:52:09,POST,/mailman/admin/ppwc HTTP/1.1,200
h24-71-236-129.ca.shawcable.net,09/Mar/2004:15:52:15,POST,/mailman/admin/ppwc HTTP/1.1,200
h24-71-236-129.ca.shawcable.net,10/Mar/2004:11:19:32,POST,/mailman/admin/ppwc HTTP/1.1,200
h24-71-236-129.ca.shawcable.net,10/Mar/2004:11:41:52,POST,/mailman/admin/ppwc HTTP/1.1,200
10.0.0.153,10/Mar/2004:12:02:59,POST,/mailman/admin/ppwc HTTP/1.1,200
10.0.0.153,10/Mar/2004:12:05:06,POST,/mailman/options/ppwc/ppwctwentynine@shaw.com HTTP/1.1,200
10.0.0.153,10/Mar/2004:12:05:54,POST,/mailman/admin/ppwc/members?letter=p HTTP/1.1,200
10.0.0.153,10/Mar/2004:12:07:07,POST,/mailman/admin/ppwc/members/add HTTP/1.1,200
10.0.0.153,10/Mar/2004:12:07:25,POST,/mailman/admin/ppwc/members?letter=p HTTP/1.1,200
h24-71-236-129.ca.shawcable.net,11/Mar/2004:12:29:03,POST,/mailman/admindb/ppwc HTTP/1.1,200
h24-71-236-129.ca.shawcable.net,11/Mar/2004:12:29:27,POST,/mailman/admindb/ppwc HTTP/1.1,200
80-219-148-207.dclient.hispeed.ch,07/Mar/2004:19:47:36,OPTIONS,* HTTP/1.0,200
206-15-133-181.dialup.ziplink.net,07/Mar/2004:20:04:03,HEAD,/twiki/bin/view/Main/SpamAssassinDeleting HTTP/1.1,200
64.246.94.152,08/Mar/2004:20:09:57,HEAD,/twiki/bin/view/Main/SpamAssassinDeleting HTTP/1.1,200
206-15-133-153.dialup.ziplink.net,09/Mar/2004:16:27:48,HEAD,/twiki/bin/view/Main/SpamAssassinDeleting HTTP/1.1,200
64.246.94.141,10/Mar/2004:16:31:19,HEAD,/twiki/bin/view/Main/SpamAssassinDeleting HTTP/1.1,200
